,holistic_essay_score,Formality,Narrativity,Sentence Structure,Sentence Length,Sentence Complexity,Cohesion,Dialog,Organization,GrammarUsage,Concreteness,Conventionality,Mechanics,Interactivity,Contextualization,Stance Taking,Vocabulary Length,Vocabulary Frequency,Lexical Tightness,Logdta,Logdtu
Layer 0 Cor,0.42,-0.74,-0.43,0.42,-0.4,0.69,-0.34,-0.56,-0.43,-0.23,0.73,0.43,-0.46,-0.83,0.48,-0.71,0.64,-0.85,-0.65,0.31,-0.25
Layer 0 Dim,288,361,53,191,145,191,37,53,342,160,329,299,94,246,74,374,246,243,295,191,342
Layer 1 Cor,-0.56,-0.81,-0.43,-0.33,-0.39,0.39,0.32,-0.52,-0.66,0.28,-0.7,0.69,0.66,-0.81,0.51,-0.65,0.72,0.8,-0.58,-0.39,-0.31
Layer 1 Dim,286,361,131,288,288,145,97,53,286,226,309,226,226,253,307,374,246,219,109,286,286
Layer 2 Cor,-0.55,-0.78,-0.48,-0.46,-0.5,0.37,-0.46,-0.53,-0.73,-0.34,0.72,0.8,0.78,0.75,-0.6,-0.62,0.64,0.79,0.66,0.43,-0.38
Layer 2 Dim,286,361,151,288,288,133,60,53,286,211,322,226,226,269,151,374,246,219,191,271,286
Layer 3 Cor,-0.6,-0.79,0.47,-0.51,-0.51,-0.5,0.4,-0.57,-0.77,0.43,-0.68,0.86,0.83,-0.79,0.58,0.68,-0.76,0.78,-0.7,-0.44,-0.41
Layer 3 Dim,2,269,307,246,246,259,191,53,2,197,294,226,226,133,307,161,364,129,109,286,2
Layer 4 Cor,0.46,0.69,-0.49,-0.44,0.51,0.61,-0.39,0.53,-0.61,-0.4,-0.74,-0.79,-0.75,-0.8,-0.61,-0.69,0.8,-0.67,0.67,-0.46,0.32
Layer 4 Dim,230,197,237,246,232,288,34,321,286,157,316,211,271,133,237,374,197,133,349,286,226
Layer 5 Cor,-0.51,0.65,0.48,-0.69,-0.59,-0.6,0.37,-0.52,-0.69,-0.41,-0.72,0.79,-0.76,-0.8,0.56,-0.64,0.6,0.75,0.66,-0.45,0.32
Layer 5 Dim,14,374,384,246,246,246,165,300,286,55,316,226,55,133,297,82,133,188,191,286,226
Layer 6 Cor,0.54,-0.66,0.57,-0.63,-0.54,-0.54,0.4,-0.57,-0.66,-0.46,-0.72,-0.8,-0.77,-0.83,0.64,-0.65,0.6,0.83,0.62,-0.45,0.37
Layer 6 Dim,349,188,211,246,246,246,349,165,286,271,118,307,271,133,211,82,133,188,191,286,349
Layer 7 Cor,0.56,0.7,-0.49,0.66,-0.55,-0.57,0.41,-0.56,-0.69,-0.5,-0.7,-0.77,-0.8,-0.8,0.55,0.68,0.59,-0.64,-0.69,-0.46,0.33
Layer 7 Dim,359,374,348,246,246,246,349,53,286,211,193,211,211,133,229,309,133,133,136,286,349
Layer 8 Cor,-0.55,0.65,-0.57,0.66,-0.56,-0.56,-0.41,0.61,-0.66,-0.5,-0.68,0.84,0.8,-0.82,0.63,-0.68,0.62,-0.74,-0.68,-0.44,0.35
Layer 8 Dim,36,133,348,246,246,246,349,348,286,211,297,226,226,133,101,278,133,384,60,286,349
Layer 9 Cor,-0.52,0.65,-0.54,-0.63,-0.54,-0.53,0.44,-0.6,-0.65,-0.51,0.64,-0.82,-0.8,-0.83,0.66,-0.64,0.63,-0.71,0.68,-0.45,0.32
Layer 9 Dim,336,133,348,246,246,246,226,348,286,211,357,307,211,133,271,82,133,384,349,286,226
Layer 10 Cor,0.69,0.71,0.54,-0.67,-0.63,-0.47,0.46,-0.58,0.87,-0.52,0.62,0.86,0.85,-0.78,0.67,-0.66,0.78,0.61,-0.66,0.47,0.39
Layer 10 Dim,93,133,104,246,246,246,211,348,93,272,82,286,286,363,108,374,133,371,36,93,93
Layer 11 Cor,0.7,0.69,-0.57,-0.64,-0.6,-0.44,0.4,-0.6,0.87,-0.53,0.58,0.82,0.81,-0.79,-0.66,0.65,0.69,0.64,-0.66,0.47,0.38
Layer 11 Dim,349,133,348,246,246,246,228,107,349,165,374,226,226,133,348,68,363,133,36,349,349
Layer 12 Cor,-0.63,0.54,-0.4,-0.57,-0.52,-0.44,-0.31,0.36,-0.71,0.56,0.41,0.77,0.75,0.57,-0.49,-0.46,0.6,-0.59,-0.44,-0.38,0.33
Layer 12 Dim,82,179,207,246,246,246,133,77,82,4,305,76,76,179,207,374,179,368,245,82,76
